Export of Imageset Testgame_2018_02_02_Antman (ball annotations in bounding boxes)
[team|NaoDevils]
[set|Testgame_2018_02_02_Antman]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|16_02_2018__11_18_08_0001_upper.png|640|480|393|0|433|48|413.0|24.0|40|48
label::robot|16_02_2018__11_18_08_0001_upper.png|640|480|269|0|310|47|289.5|23.5|41|47
label::robot|16_02_2018__11_18_08_0001_upper.png|640|480|546|0|583|50|564.5|25.0|37|50
label::robot|16_02_2018__11_18_08_0002_upper.png|640|480|562|190|598|245|580.0|217.5|36|55
label::robot|16_02_2018__11_18_08_0002_upper.png|640|480|463|186|498|241|480.5|213.5|35|55
label::robot|16_02_2018__11_18_08_0002_upper.png|640|480|297|172|349|244|323.0|208.0|52|72
label::robot|16_02_2018__11_18_08_0002_upper.png|640|480|37|169|85|243|61.0|206.0|48|74
label::robot|16_02_2018__11_18_08_0002_upper.png|640|480|162|175|209|239|185.5|207.0|47|64
label::robot|16_02_2018__11_18_08_0003_upper.png|640|480|443|100|490|179|466.5|139.5|47|79
label::robot|16_02_2018__11_18_08_0003_upper.png|640|480|321|101|369|173|345.0|137.0|48|72
label::robot|16_02_2018__11_18_08_0006_upper.png|640|480|316|129|365|192|340.5|160.5|49|63
label::robot|16_02_2018__11_18_08_0006_upper.png|640|480|445|128|497|199|471.0|163.5|52|71
label::robot|16_02_2018__11_18_08_0006_upper.png|640|480|612|139|640|203|626.0|171.0|28|64
robot|16_02_2018__11_18_08_0008_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0009_upper.png|640|480|438|6|513|107|475.5|56.5|75|101
label::robot|16_02_2018__11_18_08_0009_upper.png|640|480|228|2|301|64|264.5|33.0|73|62
label::robot|16_02_2018__11_18_08_0010_upper.png|640|480|517|77|579|176|548.0|126.5|62|99
label::robot|16_02_2018__11_18_08_0012_upper.png|640|480|268|31|326|126|297.0|78.5|58|95
label::robot|16_02_2018__11_18_08_0012_upper.png|640|480|571|34|640|205|605.5|119.5|69|171
label::robot|16_02_2018__11_18_08_0015_upper.png|640|480|376|60|461|223|418.5|141.5|85|163
robot|16_02_2018__11_18_08_0016_upper.png|not_in_image
robot|16_02_2018__11_18_08_0017_upper.png|not_in_image
robot|16_02_2018__11_18_08_0018_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|126|92|242|135|184.0|113.5|116|43
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|182|15|214|79|198.0|47.0|32|64
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|26|0|75|83|50.5|41.5|49|83
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|247|9|291|88|269.0|48.5|44|79
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|131|7|198|105|164.5|56.0|67|98
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|201|0|282|158|241.5|79.0|81|158
label::robot|16_02_2018__11_18_08_0019_upper.png|640|480|279|16|325|80|302.0|48.0|46|64
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|334|88|365|146|349.5|117.0|31|58
